epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.255,1.81357,3.57796,3.74547,1.39657,0.26742,0.44807,0.21341,0.1325,0.24618,0.41455,0.18057,0.09757,1.25846,2.38585,4.84146,1.1217,8.181e-05,8.181e-05,8.181e-05
2,262.646,1.36526,2.46089,1.87832,1.10845,0.3593,0.59545,0.36751,0.21447,0.35814,0.5732,0.35206,0.20061,1.35138,2.14421,6.77655,1.12687,0.000171,0.000171,0.000171
3,392.901,1.30062,2.26636,1.51439,1.06837,0.39401,0.69786,0.52891,0.3599,0.38145,0.67281,0.50106,0.30214,1.03593,1.82931,4.0074,1.01673,0.000258391,0.000258391,0.000258391
4,521.164,1.2419,2.0525,1.36328,1.07551,0.67136,0.63123,0.6172,0.40716,0.66422,0.61869,0.60428,0.38852,1.18613,1.75596,2.21389,1.07825,0.000343981,0.000343981,0.000343981
5,646.755,1.26614,2.10159,1.31332,1.05837,0.77018,0.66348,0.70673,0.48702,0.73732,0.66607,0.68671,0.41101,1.03819,1.68154,1.16106,1.01552,0.000427772,0.000427772,0.000427772
6,772.803,1.17288,2.0247,1.19697,1.01923,0.75143,0.66927,0.70405,0.4827,0.74713,0.66599,0.69226,0.43159,1.03635,1.59589,1.15684,1.01733,0.000509763,0.000509763,0.000509763
7,897.732,1.14439,1.81804,1.07627,1.03047,0.80971,0.66965,0.72161,0.48561,0.80355,0.66216,0.70733,0.43682,1.11049,1.61707,1.10978,1.03042,0.000589954,0.000589954,0.000589954
8,1022.38,1.14096,1.81652,1.0813,1.03659,0.69828,0.58492,0.67626,0.45143,0.6906,0.57871,0.6568,0.38376,1.12568,1.66876,1.56788,1.05877,0.000668345,0.000668345,0.000668345
9,1147.52,1.19934,1.81395,1.09251,1.04471,0.74948,0.67781,0.72143,0.50685,0.79676,0.60819,0.70239,0.42515,0.98463,1.53179,1.08236,0.98181,0.000744936,0.000744936,0.000744936
10,1271.07,1.11991,1.76248,1.05272,1.0163,0.78406,0.63636,0.72712,0.44739,0.77431,0.62812,0.71585,0.43135,1.30268,1.73048,1.11893,1.12181,0.000819728,0.000819728,0.000819728
11,1397.05,1.14803,1.85807,1.00288,1.01045,0.61146,0.63677,0.70085,0.47445,0.60053,0.62292,0.67872,0.43508,1.1093,1.55053,1.17331,1.05933,0.000819009,0.000819009,0.000819009
12,1517.2,1.09321,1.75036,1.09024,1.03609,0.74289,0.7265,0.75999,0.53679,0.73178,0.71316,0.76078,0.48327,1.00436,1.52172,0.92485,1.00359,0.00081001,0.00081001,0.00081001
13,1643.03,1.08689,1.71247,0.96053,1.00974,0.75202,0.75038,0.78409,0.5507,0.74353,0.74125,0.76692,0.48794,1.00746,1.48868,0.88563,1.00493,0.000801011,0.000801011,0.000801011
14,1766.22,1.08845,1.73655,0.9396,1.00472,0.86509,0.73864,0.80437,0.53464,0.85629,0.72892,0.75734,0.49042,1.06974,1.40927,0.90072,1.01184,0.000792012,0.000792012,0.000792012
15,1894.16,1.06029,1.66044,0.90298,0.98729,0.85685,0.71546,0.83548,0.54709,0.84686,0.70472,0.75529,0.47605,1.07607,1.40802,0.89074,1.02307,0.000783013,0.000783013,0.000783013
